,Species,Origin,,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,Moisture,Category.One.Defects,Quakers
28,Arabica,Uganda,,Washed / Wet,8.42,8.17,8.17,8.17,7.83,7.92,10,10,10,8.17,86.83,0.12,0,0
29,Arabica,Honduras,,,8.17,8.08,8.08,8,8.08,8,10,10,10,8.25,86.67,0.1,0,0
30,Arabica,,,8.17,10,10,10,8.17,86.58,0,0,0,Green,0,"May 18th, 2017",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660
31,Arabica,Nicaragua,,,7.92,8.25,8,8.33,8,8.08,10,10,10,8,86.58,0.08,0,0
32,Arabica,"Tanzania, United Republic Of",,Natural / Dry,8.42,8.17,8.17,8,7.58,8,10,10,10,8.17,86.5,0.11,0,0
33,Arabica,Brazil,,Natural / Dry,8.5,8.17,8,7.75,8,8,10,10,10,8,86.42,0.12,0,0
34,Arabica,Costa Rica,,Washed / Wet,8.17,7.83,8,8.08,7.83,8,10,10,10,8.42,86.33,0,0,0
35,Arabica,Ethiopia,,Natural / Dry,8,8.08,7.92,8,8.08,8.08,10,10,10,8.08,86.25,0.1,0,0
36,Arabica,Kenya,,Washed / Wet,8.08,8,8,8.25,7.92,7.92,10,10,10,8.08,86.25,0.12,0,0
37,Arabica,United States (Hawaii),,Natural / Dry,8.08,8.17,8,7.92,7.92,7.83,10,10,10,8.33,86.25,0,1,0
38,Arabica,United States (Hawaii),,,8.25,8.42,8.08,7.75,7.67,7.83,10,10,10,8.25,86.25,0,2,0
39,Arabica,Ethiopia,,,7.92,7.75,8.08,8.08,8.08,8.17,10,10,10,8.17,86.25,0.1,0,0
40,Arabica,United States,,Washed / Wet,7.67,8.17,8,8,8.17,8.08,10,10,10,8.08,86.17,0,0,0
41,Arabica,Thailand,,Washed / Wet,7.83,8.33,7.83,8.25,7.58,7.92,10,10,10,8.42,86.17,0.1,1,0
42,Arabica,Brazil,,,8.17,7.92,7.92,7.75,8.33,8,10,10,10,8.08,86.17,0.08,0,0
43,Arabica,Brazil,,,8.42,7.92,8,7.75,7.92,8,10,10,10,8.17,86.17,0.01,0,0
44,Arabica,,,8.08,7.75,7.83,10,10,10,8.42,86.08,0.12,0,0,Green,0,"June 9th, 2016",Specialty Coffee Association
45,Arabica,Kenya,,Natural / Dry,8.08,8.08,8,8,7.83,8.08,10,10,10,8,86.08,0.11,0,0
46,Arabica,Brazil,,Semi-washed / Semi-pulped,8.33,8,8,8,7.75,8,10,10,10,8,86.08,0.11,0,0
47,Arabica,Uganda,,Semi-washed / Semi-pulped,8.08,8.08,7.83,7.92,8.08,7.92,10,10,10,8.08,86,0,0,0
48,Arabica,Colombia,,Washed / Wet,7.75,7.92,7.83,8.08,8.08,8.17,10,10,10,8.17,86,0.12,1,0
49,Arabica,Kenya,,Washed / Wet,7.92,8.17,7.83,8.5,7.5,7.92,10,10,10,8.17,86,0.11,0,0
50,Arabica,Uganda,,Washed / Wet,8.25,8,7.83,8.08,8,7.92,10,10,10,7.92,86,0.1,0,0
51,Arabica,Ethiopia,,,7.75,8.08,8,8.25,8,8,10,10,10,7.92,86,0.01,0,0
52,Arabica,United States (Hawaii),,,8.33,8.17,7.75,8,7.75,7.83,10,10,10,8.17,86,0,0,0
53,Arabica,Guatemala,,Washed / Wet,7.92,8.08,7.92,8.08,8.08,7.83,10,10,10,8,85.92,0.1,0,1
54,Arabica,Uganda,,Natural / Dry,8.17,8.17,7.92,8.08,7.83,7.75,10,10,10,8,85.92,0.12,0,0
55,Arabica,Colombia,,Washed / Wet,8,8,8,8.17,7.83,8,10,10,10,7.92,85.92,0,1,0
56,Arabica,Panama,,Washed / Wet,8,8,7.92,8.08,7.83,8,10,10,10,8,85.83,0.08,0,1
57,Arabica,Ethiopia,,Washed / Wet,7.83,8.08,7.92,8.08,8,7.92,10,10,10,8,85.83,0.1,0,0
58,Arabica,Guatemala,,Washed / Wet,7.83,8,8,8.17,7.83,8,10,10,10,8,85.83,0.12,0,0
59,Arabica,Guatemala,,Washed / Wet,8,8,7.83,8.33,7.83,7.83,10,10,10,8,85.83,0.1,0,0
60,Arabica,Ethiopia,,Natural / Dry,7.83,8,7.83,8.17,7.92,8,10,10,10,8,85.75,0.09,0,4
61,Arabica,Peru,,Washed / Wet,8,8,8,8.08,7.92,7.75,10,10,10,8,85.75,0.1,4,0
62,Arabica,Papua New Guinea,,Washed / Wet,8.33,8.42,7.83,8.33,8,8.25,9.33,9.33,10,7.92,85.75,0.12,0,0
63,Arabica,El Salvador,,Washed / Wet,7.92,8.17,8,7.92,7.75,7.83,10,10,10,8,85.58,0.1,0,0
64,Arabica,El Salvador,,Semi-washed / Semi-pulped,7.83,8,8,7.75,7.92,8.17,10,10,10,7.92,85.58,0.11,0,0
65,Arabica,United States (Hawaii),,Natural / Dry,7.83,8,7.92,7.75,8.08,8,10,10,10,8,85.58,0,0,0
66,Arabica,Panama,,Natural / Dry,8,7.75,7.83,7.83,7.67,8.58,10,10,10,7.83,85.5,0.09,2,0
67,Arabica,Kenya,,Natural / Dry,7.92,7.92,7.83,8.08,7.83,7.92,10,10,10,8,85.5,0.1,0,0
68,Arabica,Ethiopia,,Natural / Dry,7.83,8,7.83,7.92,7.83,8.08,10,10,10,8,85.5,0.12,0,0
69,Arabica,Uganda,,Washed / Wet,8.33,7.92,7.67,7.92,7.67,7.92,10,10,10,8.08,85.5,0.12,0,0
70,Arabica,Guatemala,,Washed / Wet,8,7.83,7.67,8.33,7.83,8,10,10,10,7.83,85.5,0.11,0,0
71,Arabica,Ethiopia,,Washed / Wet,7.75,7.83,7.83,8.17,7.92,7.83,10,10,10,8.08,85.42,0.1,0,0
72,Arabica,Uganda,,Washed / Wet,8.08,8,7.83,7.67,8,7.83,10,10,10,8,85.42,0.12,0,0
73,Arabica,United States (Hawaii),,Natural / Dry,7.92,7.92,7.75,7.92,7.75,7.92,10,10,10,8.25,85.42,0,4,0
74,Arabica,Brazil,,Semi-washed / Semi-pulped,8,8,8,7.67,7.75,8,10,10,10,8,85.42,0.11,0,0
75,Arabica,El Salvador,,,8.08,7.83,7.83,8.08,7.83,7.83,10,10,10,7.92,85.42,0.01,0,0
76,Arabica,China,,Natural / Dry,8,8,8,7.83,7.83,7.75,10,10,10,7.92,85.33,0.1,0,0
77,Arabica,Guatemala,,Natural / Dry,7.83,7.75,7.83,7.67,7.83,8.58,10,10,10,7.83,85.33,0.11,0,0
78,Arabica,Costa Rica,,Washed / Wet,7.92,8.08,8,7.92,8,8.08,10,10,9.33,8,85.33,0,0,0
79,Arabica,Costa Rica,,Washed / Wet,8,7.58,7.58,7.67,8.08,8.5,10,10,10,7.92,85.33,0.1,0,0
80,Arabica,Kenya,,Washed / Wet,7.83,8.08,7.75,8.08,7.92,7.75,10,10,10,7.92,85.33,0,0,0
81,Arabica,Kenya,,Washed / Wet,8,7.92,7.92,8.08,7.83,7.75,10,10,10,7.83,85.33,0,0,0
82,Arabica,Ethiopia,,,7.83,7.83,7.92,8.08,7.75,7.83,10,10,10,8.08,85.33,0.05,0,0
83,Arabica,Ethiopia,,,7.92,7.83,7.75,8.33,7.75,7.75,10,10,10,8,85.33,0.1,0,0
84,Arabica,Guatemala,,,8,7.92,7.75,8,7.92,7.83,10,10,10,7.83,85.25,0.1,0,2
85,Arabica,Colombia,,Washed / Wet,8.17,7.92,7.83,8,7.58,7.83,10,10,10,7.92,85.25,0.11,0,0
86,Arabica,Colombia,,Natural / Dry,7.58,8.08,7.92,7.83,8,7.92,10,10,10,7.92,85.25,0.12,0,0
87,Arabica,Indonesia,,Semi-washed / Semi-pulped,7.75,7.83,7.67,8,8.08,7.83,10,10,10,8,85.17,0.11,0,0
88,Arabica,Guatemala,,Washed / Wet,8.25,8,7.67,7.92,7.75,7.67,10,10,10,7.92,85.17,0,0,0
89,Arabica,Ethiopia,,Natural / Dry,7.75,8,7.58,8,8,7.92,10,10,10,7.83,85.08,0.11,0,1
90,Arabica,Colombia,,Natural / Dry,8.17,7.83,7.58,8.08,8,7.75,10,10,10,7.67,85.08,0,0,0
91,Arabica,Ethiopia,,Natural / Dry,8.42,8,7.42,8,7.92,7.92,9.33,10,10,8.08,85.08,0.1,2,0
92,Arabica,United States (Hawaii),,Natural / Dry,7.58,7.83,7.83,7.92,7.83,8.17,10,10,10,7.92,85.08,0.11,2,0
93,Arabica,Colombia,,Natural / Dry,7.83,8,7.75,7.75,7.83,7.83,10,10,10,8.08,85.08,0.11,0,0
94,Arabica,United States (Hawaii),,,8.08,8.17,7.92,8,8.08,8,9.33,9.33,10,8.17,85.08,0.01,1,0
95,Arabica,Ethiopia,,,7.67,8,7.83,8,7.92,7.83,10,10,10,7.83,85.08,0,0,0
96,Arabica,United States (Hawaii),,,7.5,7.92,8.25,7.83,7.92,7.75,10,10,10,7.92,85.08,0,0,0
97,Arabica,Uganda,,Washed / Wet,8.17,7.92,7.75,7.75,7.67,7.75,10,10,10,8,85,0.11,0,0
98,Arabica,Colombia,,Washed / Wet,8,7.92,7.75,7.92,7.75,7.83,10,10,10,7.83,85,0,0,0
99,Arabica,Costa Rica,,Washed / Wet,7.83,8,7.58,7.92,7.92,7.83,10,10,10,7.92,85,0.12,1,1
100,Arabica,Mexico,,Washed / Wet,7.83,8,7.83,7.75,7.67,7.83,10,10,10,8.08,85,0.09,0,0
101,Arabica,Kenya,,Washed / Wet,8.17,7.83,7.92,7.75,7.67,7.83,10,10,10,7.83,85,0.11,0,5
102,Arabica,Kenya,,Washed / Wet,7.75,7.83,7.75,8.08,8,7.75,10,10,10,7.83,85,0,0,0
103,Arabica,Brazil,,Natural / Dry,8,8,7.83,7.83,7.67,7.67,10,10,10,8,85,0.12,0,0
104,Arabica,Mexico,,,7.92,8.17,7.75,8.08,7.42,7.83,10,10,10,7.83,85,0,0,0
105,Arabica,United States (Hawaii),,,7.75,7.92,7.75,7.75,8,8,10,10,10,7.83,85,0,0,0
106,Arabica,Guatemala,,,7.83,8.08,7.67,8,7.75,7.67,10,10,10,8,85,0.04,0,0
107,Arabica,Colombia,,Washed / Wet,7.92,7.92,7.67,7.83,7.92,7.83,10,10,10,7.83,84.92,0,1,6
108,Arabica,Colombia,,Washed / Wet,7.92,7.83,7.75,7.83,7.75,8,10,10,10,7.83,84.92,0.12,0,0
109,Arabica,,,7.92,10,10,10,7.92,84.92,0.11,0,0,Green,0,"June 8th, 2016",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660
110,Arabica,"Tanzania, United Republic Of",,Washed / Wet,8,7.83,7.83,7.92,7.75,7.75,10,10,10,7.83,84.92,0.12,0,0
111,Arabica,Colombia,,Washed / Wet,7.75,7.92,7.83,7.75,7.75,8,10,10,10,7.92,84.92,0.11,0,0
112,Arabica,Mexico,,Semi-washed / Semi-pulped,7.75,8,7.75,7.83,7.5,7.92,10,10,10,8.17,84.92,0.11,0,0
113,Arabica,Brazil,,Natural / Dry,8,7.92,7.75,7.75,8,7.75,10,10,10,7.75,84.92,0.11,0,0
114,Arabica,Brazil,,Natural / Dry,8,8,7.75,8,7.5,7.75,10,10,10,7.92,84.92,0.12,0,0
115,Arabica,Kenya,,,8,7.67,7.83,8.17,7.92,7.75,10,10,10,7.58,84.92,0.06,1,0
116,Arabica,,,7.83,10,10,10,8,84.83,0,0,0,Green,0,"May 18th, 2017",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660
117,Arabica,Uganda,,Natural / Dry,7.75,7.92,7.67,7.67,8.25,7.75,10,10,10,7.83,84.83,0.12,0,0
118,Arabica,United States (Hawaii),,Natural / Dry,7.67,7.75,7.75,7.75,7.83,8,10,10,10,8.08,84.83,0,3,0
119,Arabica,Ethiopia,,,7.75,7.92,7.83,7.92,7.75,7.67,10,10,10,8,84.83,0.1,0,0
120,Arabica,Ethiopia,,,7.42,7.92,7.92,8,7.83,7.83,10,10,10,7.92,84.83,0.1,0,0
121,Arabica,Thailand,,Pulped natural / honey,7.75,7.75,7.75,7.75,8,7.75,10,10,10,8,84.75,0.12,0,0
122,Arabica,Kenya,,Washed / Wet,7.92,7.83,7.58,7.92,7.75,7.83,10,10,10,7.92,84.75,0.13,0,0
123,Arabica,Honduras,,Washed / Wet,7.83,7.75,8,7.67,7.67,7.67,10,10,10,8.17,84.75,0.11,0,0
124,Arabica,El Salvador,,,7.75,8,8,8.33,7.67,7.92,10,10,9.33,7.75,84.75,0.15,0,0
125,Arabica,Nicaragua,,,7.83,7.58,7.58,7.83,7.75,7.67,10,10,10,8.5,84.75,0.18,0,0
126,Arabica,El Salvador,,Washed / Wet,7.83,7.83,7.5,8,7.83,7.67,10,10,10,8,84.67,0,0,0
127,Arabica,Indonesia,,Washed / Wet,7.92,7.83,7.75,7.75,7.75,7.75,10,10,10,7.92,84.67,0.12,0,0
128,Arabica,Japan,,Pulped natural / honey,7.75,7.75,7.75,7.42,8.08,7.83,10,10,10,8.08,84.67,0.12,0,0
129,Arabica,Costa Rica,,Washed / Wet,8.08,7.75,7.67,7.83,7.5,7.92,10,10,10,7.92,84.67,0.1,0,0
130,Arabica,Guatemala,,Washed / Wet,7.75,7.83,7.58,8,7.92,7.75,10,10,10,7.83,84.67,0.1,0,0
131,Arabica,Costa Rica,,Washed / Wet,8.17,8,7.83,7.17,7.83,7.75,10,10,10,7.92,84.67,0.12,0,0
132,Arabica,Ethiopia,,Washed / Wet,8.08,7.83,7.75,7.83,7.58,7.67,10,10,10,7.92,84.67,0.1,0,0
133,Arabica,Costa Rica,,Other,7.67,7.58,7.75,7.75,7.67,8.58,10,10,10,7.67,84.67,0.08,0,0
134,Arabica,Costa Rica,,Washed / Wet,8,7.58,7.83,7.75,7.75,7.75,10,10,10,8,84.67,0.11,0,0
135,Arabica,Costa Rica,,Washed / Wet,8.08,7.83,7.75,7.83,7.92,8,10,10,9.33,7.92,84.67,0,1,0
136,Arabica,Taiwan,,7.75,7.75,7.75,10,10,10,7.75,84.67,0.11,0,0,Green,0,"December 26th, 2014",Blossom Valley International
137,Arabica,Colombia,,Washed / Wet,7.75,7.83,7.75,7.83,7.75,7.83,10,10,10,7.92,84.67,0,0,0
138,Arabica,Kenya,,Washed / Wet,7.75,7.92,7.83,8,7.58,7.75,10,10,10,7.83,84.67,0.11,0,0
139,Arabica,Guatemala,,Washed / Wet,8,7.83,7.67,7.83,7.67,8,10,10,10,7.67,84.67,0.11,0,0
140,Arabica,Guatemala,,Washed / Wet,7.67,7.83,7.67,8,7.67,7.83,10,10,10,8,84.67,0.12,0,0
141,Arabica,Mexico,,Washed / Wet,7.83,7.58,7.67,7.92,7.92,7.83,10,10,10,7.92,84.67,0.13,0,0
142,Arabica,Uganda,,Washed / Wet,7.92,7.83,7.75,7.92,7.67,7.75,10,10,10,7.83,84.67,0.11,0,0
143,Arabica,Peru,,,7.67,7.83,7.75,7.75,7.92,7.83,10,10,10,7.92,84.67,0,0,0
144,Arabica,Ethiopia,,,7.42,7.75,7.75,8,8,7.92,10,10,10,7.83,84.67,0.2,0,0
145,Arabica,Kenya,,Washed / Wet,7.92,7.75,7.83,7.75,7.58,7.92,10,10,10,7.83,84.58,0.11,0,0
146,Arabica,Colombia,,Washed / Wet,7.83,7.67,7.58,7.92,7.67,7.83,10,10,10,8.08,84.58,0,0,0
147,Arabica,Colombia,,Washed / Wet,7.92,7.83,7.58,8,7.83,7.67,10,10,10,7.75,84.58,0,0,1
148,Arabica,Kenya,,Washed / Wet,7.83,7.83,7.83,7.75,7.58,7.83,10,10,10,7.92,84.58,0.1,0,0
149,Arabica,Guatemala,,Washed / Wet,7.75,7.83,7.67,7.92,7.75,7.83,10,10,10,7.83,84.58,0.11,0,0
150,Arabica,Guatemala,,Washed / Wet,8,7.92,7.67,7.58,7.58,7.67,10,10,10,8.17,84.58,0.09,0,0
151,Arabica,Colombia,,Washed / Wet,7.67,7.67,7.58,7.75,7.58,8.5,10,10,10,7.83,84.58,0,0,0
152,Arabica,Colombia,,Washed / Wet,7.75,7.75,7.83,7.75,7.58,8,10,10,10,7.92,84.58,0,0,0
153,Arabica,Kenya,,Washed / Wet,7.75,7.75,7.75,8.08,7.75,7.75,10,10,10,7.75,84.58,0,0,0
154,Arabica,Colombia,,Washed / Wet,7.67,7.83,7.83,8,7.58,7.92,10,10,10,7.75,84.58,0,0,0
155,Arabica,Costa Rica,,Semi-washed / Semi-pulped,7.75,7.83,7.75,8,7.83,7.67,10,10,10,7.75,84.58,0.12,0,0
156,Arabica,Colombia,,Washed / Wet,7.42,7.67,7.75,7.75,8.08,7.83,10,10,10,8.08,84.58,0.11,0,0
157,Arabica,Brazil,,Semi-washed / Semi-pulped,8,8,7.75,7.75,7.58,7.75,10,10,10,7.75,84.58,0.12,0,0
158,Arabica,Brazil,,Semi-washed / Semi-pulped,8.5,8,7.5,7.75,7.5,7.83,10,10,10,7.5,84.58,0.11,0,0
159,Arabica,Costa Rica,,Washed / Wet,7.92,7.67,7.92,7.75,7.67,7.58,10,10,10,8,84.5,0.1,0,0
160,Arabica,Uganda,,Washed / Wet,7.92,7.75,7.67,7.75,7.83,7.75,10,10,10,7.83,84.5,0.11,0,0
161,Arabica,China,,Washed / Wet,7.75,7.92,7.67,7.83,7.75,7.67,10,10,10,7.92,84.5,0.1,0,0
162,Arabica,Costa Rica,,Washed / Wet,7.92,7.83,7.83,7.83,7.58,7.58,10,10,10,7.92,84.5,0.11,0,0
163,Arabica,Colombia,,Washed / Wet,8.08,7.67,7.83,7.83,7.67,7.67,10,10,10,7.75,84.5,0.12,1,0
164,Arabica,China,,Washed / Wet,7.67,8,7.75,7.83,7.75,7.58,10,10,10,7.92,84.5,0,0,0
165,Arabica,Guatemala,,Washed / Wet,8.17,7.83,7.67,7.83,7.67,7.83,10,10,10,7.5,84.5,0.11,0,0
166,Arabica,Kenya,,Washed / Wet,7.92,7.83,7.67,8,7.67,7.75,10,10,10,7.67,84.5,0.11,0,0
167,Arabica,Mexico,,Washed / Wet,8,7.92,7.42,8.08,7.5,7.67,10,10,10,7.92,84.5,0.12,0,0
168,Arabica,Mexico,,Washed / Wet,7.92,7.83,7.75,7.75,7.75,7.83,10,10,10,7.67,84.5,0.11,0,0
169,Arabica,Guatemala,,Washed / Wet,7.67,8,7.67,8,7.5,7.83,10,10,10,7.83,84.5,0.11,0,0
170,Arabica,Brazil,,,7.81,7.81,7.88,7.75,7.38,8.25,9.5,10,10,8.13,84.5,0,0,0
171,Arabica,Brazil,,,8.17,7.67,7.75,7.75,7.67,7.75,10,10,10,7.75,84.5,0,2,0
172,Arabica,Costa Rica,,Washed / Wet,7.58,7.83,7.83,8,7.67,7.58,10,10,10,7.92,84.42,0.1,0,0
173,Arabica,Indonesia,,Other,7.67,7.67,7.83,7.58,7.83,7.83,10,10,10,8,84.42,0,0,0
174,Arabica,Colombia,,Natural / Dry,7.92,7.83,7.75,7.67,7.92,7.67,10,10,10,7.67,84.42,0,0,0
175,Arabica,Colombia,,Washed / Wet,7.92,7.75,7.67,7.92,7.67,7.75,10,10,10,7.75,84.42,0,0,0
176,Arabica,Taiwan,,Washed / Wet,7.83,7.83,7.75,8,7.5,7.75,10,10,10,7.75,84.42,0.11,0,0
177,Arabica,United States (Hawaii),,Natural / Dry,7.92,7.92,7.5,7.83,7.5,7.92,10,10,10,7.83,84.42,0.11,0,0
178,Arabica,Mexico,,Washed / Wet,7.75,7.92,7.75,7.67,7.83,7.67,10,10,10,7.83,84.42,0.12,2,0
179,Arabica,Ethiopia,,,7.5,7.75,7.83,7.92,7.92,7.75,10,10,10,7.75,84.42,0.2,0,0
180,Arabica,Kenya,,Washed / Wet,7.33,7.58,7.83,7.75,7.75,7.92,10,10,10,8.17,84.33,0.11,0,0
181,Arabica,Honduras,,,7.92,8,7.75,7.67,7.67,7.75,10,10,10,7.58,84.33,0.1,0,0
182,Arabica,Colombia,,Washed / Wet,7.58,7.75,7.5,7.83,7.67,8.5,10,10,10,7.5,84.33,0,0,3
183,Arabica,Honduras,,Washed / Wet,7.58,7.92,7.58,7.75,7.92,7.75,10,10,10,7.83,84.33,0.11,0,1
184,Arabica,Colombia,,,7.67,7.67,7.75,7.83,7.75,7.83,10,10,10,7.83,84.33,0,0,2
185,Arabica,Colombia,,Natural / Dry,7.75,7.67,8,7.67,8.08,7.83,10,10,10,7.33,84.33,0.11,6,0
186,Arabica,Colombia,,Washed / Wet,7.75,7.58,7.33,7.83,7.58,8.08,10,10,10,8.17,84.33,0,0,0
187,Arabica,Mexico,,Washed / Wet,8,7.75,7.75,7.83,7.5,7.67,10,10,10,7.83,84.33,0.12,0,0
188,Arabica,Brazil,,,8.17,8,7.5,7.75,7.5,7.67,10,10,10,7.75,84.33,0,0,0
189,Arabica,Brazil,,,8,8,7.5,7.5,7.67,7.75,10,10,10,7.92,84.33,0.02,0,0
190,Arabica,Ethiopia,,,7.75,7.75,7.92,7.75,7.5,7.92,10,10,10,7.75,84.33,0,0,0
191,Arabica,Guatemala,,,7.5,7.67,7.75,7.67,7.92,7.92,10,10,10,7.92,84.33,0.04,1,0
192,Arabica,,,7.75,7.75,7.67,7.67,7.83,10,10,10,7.67,84.25,0.12,0,0,Blue-Green,0
193,Arabica,Thailand,,Natural / Dry,7.83,7.75,7.75,7.42,7.83,7.67,10,10,10,8,84.25,0.12,0,0
194,Arabica,Colombia,,Natural / Dry,7.83,7.58,7.75,7.58,7.67,8,10,10,10,7.83,84.25,0.11,0,0
195,Arabica,Guatemala,,Washed / Wet,7.75,7.75,7.58,7.92,7.75,7.75,10,10,10,7.75,84.25,0.11,0,4
196,Arabica,Guatemala,,Washed / Wet,7.75,7.92,7.5,8.08,7.58,7.67,10,10,10,7.75,84.25,0.1,0,0
197,Arabica,China,,Natural / Dry,7.83,7.83,7.58,7.75,7.75,7.75,10,10,10,7.75,84.25,0.1,0,0
198,Arabica,Colombia,,Washed / Wet,7.67,7.67,7.75,7.75,7.67,7.92,10,10,10,7.83,84.25,0.11,0,0
199,Arabica,Colombia,,Washed / Wet,7.83,7.67,7.75,7.58,7.92,7.75,10,10,10,7.75,84.25,0.12,4,0
200,Arabica,Colombia,,Washed / Wet,7.83,7.75,7.83,7.58,7.67,7.75,10,10,10,7.83,84.25,0.12,0,0
201,Arabica,Colombia,,Natural / Dry,7.42,7.67,7.83,7.75,7.92,7.83,10,10,10,7.83,84.25,0.12,3,0
202,Arabica,"Tanzania, United Republic Of",,Washed / Wet,7.83,7.67,7.75,7.83,7.67,7.67,10,10,10,7.83,84.25,0.12,0,0
203,Arabica,"Tanzania, United Republic Of",,Washed / Wet,7.83,7.75,7.75,7.75,7.67,7.75,10,10,10,7.75,84.25,0.12,0,0
204,Arabica,Guatemala,,Other,7.83,7.83,7.5,7.92,7.58,7.75,10,10,10,7.83,84.25,0.1,0,0
205,Arabica,Colombia,,Washed / Wet,7.58,7.5,7.75,7.83,7.92,7.83,10,10,10,7.83,84.25,0.11,0,0
206,Arabica,United States (Hawaii),,Natural / Dry,7.33,7.92,7.92,7.92,7.92,8.08,10,10,9.33,7.83,84.25,0.11,1,0
207,Arabica,Mexico,,Semi-washed / Semi-pulped,7.83,7.92,7.67,7.83,7.5,7.75,10,10,10,7.75,84.25,0.12,0,0
208,Arabica,Mexico,,Washed / Wet,7.83,7.83,7.75,7.67,7.83,7.58,10,10,10,7.75,84.25,0.12,0,0
209,Arabica,Mexico,,Washed / Wet,7.83,7.92,7.67,7.75,7.5,7.75,10,10,10,7.83,84.25,0.1,0,0
210,Arabica,Uganda,,Natural / Dry,8.17,7.75,7.58,7.67,7.83,7.58,10,10,10,7.67,84.25,0.13,4,0
211,Arabica,Guatemala,,Washed / Wet,7.75,7.83,7.58,7.83,7.67,7.75,10,10,10,7.75,84.17,0.13,0,0
